"DATE","TIME PERIOD","EURO STOXX 50 Equity Index - Historical close, average of observations through period (FM.M.U2.EUR.DS.EI.DJES50I.HSTA)"
"1986-12-31","1986Dec","900.8200000"
"1987-01-31","1987Jan","877.8640909"
"1987-02-28","1987Feb","839.7895000"
"1987-03-31","1987Mar","856.6245455"
"1987-04-30","1987Apr","888.9836364"
"1987-05-31","1987May","872.0866667"
"1987-06-30","1987Jun","884.0690909"
"1987-07-31","1987Jul","930.3595652"
"1987-08-31","1987Aug","952.9004762"
"1987-09-30","1987Sep","932.2722727"
"1987-10-31","1987Oct","852.7268182"
"1987-11-30","1987Nov","672.9633333"
"1987-12-31","1987Dec","653.3695652"
"1988-01-31","1988Jan","646.5657143"
"1988-02-29","1988Feb","679.0166667"
"1988-03-31","1988Mar","716.6960870"
"1988-04-30","1988Apr","713.5447619"
"1988-05-31","1988May","696.4390909"
"1988-06-30","1988Jun","748.1390909"
"1988-07-31","1988Jul","773.7885714"
"1988-08-31","1988Aug","773.9156522"
"1988-09-30","1988Sep","787.2531818"
"1988-10-31","1988Oct","826.4876190"
"1988-11-30","1988Nov","828.4481818"
"1988-12-31","1988Dec","842.9536364"
"1989-01-31","1989Jan","883.0745455"
"1989-02-28","1989Feb","874.1225000"
"1989-03-31","1989Mar","874.3404348"
"1989-04-30","1989Apr","901.6255000"
"1989-05-31","1989May","902.4473913"
"1989-06-30","1989Jun","946.9963636"
"1989-07-31","1989Jul","978.7657143"
"1989-08-31","1989Aug","1021.5108696"
"1989-09-30","1989Sep","1048.3147619"
"1989-10-31","1989Oct","1008.3254545"
"1989-11-30","1989Nov","982.9840909"
"1989-12-31","1989Dec","1054.7957143"
"1990-01-31","1990Jan","1085.3565217"
"1990-02-28","1990Feb","1072.5385000"
"1990-03-31","1990Mar","1092.6522727"
"1990-04-30","1990Apr","1115.8880952"
"1990-05-31","1990May","1110.4191304"
"1990-06-30","1990Jun","1107.3309524"
"1990-07-31","1990Jul","1120.0540909"
"1990-08-31","1990Aug","992.5234783"
"1990-09-30","1990Sep","913.0400000"
"1990-10-31","1990Oct","892.4456522"
"1990-11-30","1990Nov","874.4068182"
"1990-12-31","1990Dec","887.4757143"
"1991-01-31","1991Jan","850.4469565"
"1991-02-28","1991Feb","925.1970000"
"1991-03-31","1991Mar","973.7428571"
"1991-04-30","1991Apr","1000.9218182"
"1991-05-31","1991May","1018.5626087"
"1991-06-30","1991Jun","1034.7290000"
"1991-07-31","1991Jul","999.4482609"
"1991-08-31","1991Aug","1001.5645455"
"1991-09-30","1991Sep","1011.4909524"
"1991-10-31","1991Oct","998.4839130"
"1991-11-30","1991Nov","1000.2647619"
"1991-12-31","1991Dec","976.9277273"
"1992-01-31","1992Jan","1032.6208696"
"1992-02-29","1992Feb","1060.3905000"
"1992-03-31","1992Mar","1070.9581818"
"1992-04-30","1992Apr","1071.5636364"
"1992-05-31","1992May","1092.7147619"
"1992-06-30","1992Jun","1076.7913636"
"1992-07-31","1992Jul","1022.8008696"
"1992-08-31","1992Aug","962.7657143"
"1992-09-30","1992Sep","984.1318182"
"1992-10-31","1992Oct","962.1081818"
"1992-11-30","1992Nov","997.6490476"
"1992-12-31","1992Dec","1010.0330435"
"1993-01-31","1993Jan","1035.8000000"
"1993-02-28","1993Feb","1097.5220000"
"1993-03-31","1993Mar","1136.2539130"
"1993-04-30","1993Apr","1127.5404545"
"1993-05-31","1993May","1110.7485714"
"1993-06-30","1993Jun","1135.9550000"
"1993-07-31","1993Jul","1185.1790909"
"1993-08-31","1993Aug","1276.8645455"
"1993-09-30","1993Sep","1279.5790909"
"1993-10-31","1993Oct","1333.0338095"
"1993-11-30","1993Nov","1330.5763636"
"1993-12-31","1993Dec","1393.6917391"
"1994-01-31","1994Jan","1423.2104762"
"1994-02-28","1994Feb","1424.0050000"
"1994-03-31","1994Mar","1387.0704348"
"1994-04-30","1994Apr","1409.0142857"
"1994-05-31","1994May","1413.6963636"
"1994-06-30","1994Jun","1324.9872727"
"1994-07-31","1994Jul","1328.1028571"
"1994-08-31","1994Aug","1374.3030435"
"1994-09-30","1994Sep","1341.7731818"
"1994-10-31","1994Oct","1300.9290476"
"1994-11-30","1994Nov","1320.9995455"
"1994-12-31","1994Dec","1319.0968182"
"1995-01-31","1995Jan","1306.8731818"
"1995-02-28","1995Feb","1328.8460000"
"1995-03-31","1995Mar","1295.3839130"
"1995-04-30","1995Apr","1324.1225000"
"1995-05-31","1995May","1379.0234783"
"1995-06-30","1995Jun","1383.5204545"
"1995-07-31","1995Jul","1420.5676190"
"1995-08-31","1995Aug","1448.5343478"
"1995-09-30","1995Sep","1445.9095238"
"1995-10-31","1995Oct","1403.8959091"
"1995-11-30","1995Nov","1432.9409091"
"1995-12-31","1995Dec","1486.3076190"
"1996-01-31","1996Jan","1556.2139130"
"1996-02-29","1996Feb","1587.5809524"
"1996-03-31","1996Mar","1594.0128571"
"1996-04-30","1996Apr","1645.4559091"
"1996-05-31","1996May","1672.2713043"
"1996-06-30","1996Jun","1667.2085000"
"1996-07-31","1996Jul","1613.7121739"
"1996-08-31","1996Aug","1620.2022727"
"1996-09-30","1996Sep","1644.4595238"
"1996-10-31","1996Oct","1714.0334783"
"1996-11-30","1996Nov","1760.7957143"
"1996-12-31","1996Dec","1816.1009091"
"1997-01-31","1997Jan","1932.3560870"
"1997-02-28","1997Feb","2070.8415000"
"1997-03-31","1997Mar","2122.8533333"
